0,1,2,3
The New York Times,,"“did a phony story, as usual”",https://twitter.com/realDonaldTrump/status/1063834729584054272
Allegations of collusion between Russia and members of the Trump campaign,,“a total mess”,https://twitter.com/realDonaldTrump/status/1063042585802039296
Allegations of collusion between Russia and members of the Trump campaign,,“A TOTAL WITCH HUNT LIKE NO OTHER IN AMERICAN HISTORY!”,https://twitter.com/realDonaldTrump/status/1063046973857718272
Twitter,,“biased”,https://twitter.com/realDonaldTrump/status/1063084073231544320
Twitter,,“in favor of the Democrats”,https://twitter.com/realDonaldTrump/status/1063084073231544320
Anthony Brindisi,Congressional candidate,“a disaster”,https://twitter.com/realDonaldTrump/status/1059460759179198470
"California environmental laws
",,“forest management is so poor”,https://twitter.com/realDonaldTrump/status/1061168803218948096
"California environmental laws
",,“gross mismanagement”,https://twitter.com/realDonaldTrump/status/1061168803218948096
CNN,,“Fake Suppression Polls”,https://twitter.com/realDonaldTrump/status/1059464880955277312
CNN,,“false rhetoric”,https://twitter.com/realDonaldTrump/status/1059464880955277312
CNN,,“ratings are so low”,https://twitter.com/realDonaldTrump/status/1059464880955277312
Democrats,,“waste Taxpayer Money”,https://twitter.com/realDonaldTrump/status/1060155917059219461
Democrats,,“Trying to STEAL two big elections in Florida!”,https://twitter.com/realDonaldTrump/status/1061335051294728194
Marc Elias,Lawyer,“Election stealing lawyer”,https://twitter.com/realDonaldTrump/status/1060938144336367616
Jeff Flake,United States senator,“Jeff Flake(y)”,https://twitter.com/realDonaldTrump/status/1060942600994050048
Jeff Flake,United States senator,“unelectable in Arizona”,https://twitter.com/realDonaldTrump/status/1060942600994050048
Jeff Flake,United States senator,“doing a terrible job!”,https://twitter.com/realDonaldTrump/status/1060942600994050048
Jeff Flake,United States senator,“A weak and ineffective guy!”,https://twitter.com/realDonaldTrump/status/1060942600994050048
Senate and governor’s race recounts in Florida,,“FRAUD!”,https://twitter.com/realDonaldTrump/status/1060938144336367616
Senate and governor’s race recounts in Florida,,“an embarrassment to our Country and to Democracy!”,https://twitter.com/realDonaldTrump/status/1060958713047961600
Andrew Gillum,Candidate for Florida governor,"“If @AndrewGillum did the same job with Florida that he has done in Tallahassee as Mayor, the State will be a crime ridden, overtaxed mess”",https://twitter.com/realDonaldTrump/status/1059435440497934337
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1059827782434328582
The “mainstream” media,,“Nasty”,https://twitter.com/realDonaldTrump/status/1060141780878979072
The “mainstream” media,,“Hostile”,https://twitter.com/realDonaldTrump/status/1060141780878979072
The “mainstream” media,,“FAKE NEWS!”,https://twitter.com/realDonaldTrump/status/1060153052676702208
Claire McCaskill,United States senator,“will always vote against us”,https://twitter.com/realDonaldTrump/status/1059439426022137856
Claire McCaskill,United States senator,"“A vote for Claire McCaskill is a vote for Schumer, Pelosi, Waters, and their socialist agenda”",https://twitter.com/realDonaldTrump/status/1059674931737300993
Claire McCaskill,United States senator,“would rather protect criminal aliens than American citizens”,https://twitter.com/realDonaldTrump/status/1059674931737300993
Claire McCaskill,United States senator,“she needs to be voted out of office”,https://twitter.com/realDonaldTrump/status/1059674931737300993
Members of Robert Mueller’s team,,“17 Angry Democrats”,https://twitter.com/realDonaldTrump/status/1060194964351660033
Bill Nelson,U.S. senator ,“didn’t call me once. Rick Scott called constantly”,https://twitter.com/realDonaldTrump/status/1059469158830796800
Harley Rouda,Congressional candidate,“a super liberal”,https://twitter.com/realDonaldTrump/status/1059317426653933568
Harley Rouda,Congressional candidate,“weak on Crime and bad for our Military & Vets!”,https://twitter.com/realDonaldTrump/status/1059317426653933568
Allegations of collusion between Russia and members of the Trump campaign,,“a disgusting Witch Hunt”,https://twitter.com/realDonaldTrump/status/1060194964351660033
Debbie Stabenow,U.S. senator ,“Schumer Puppet”,https://twitter.com/realDonaldTrump/status/1059310562771984390
Debbie Stabenow,U.S. senator ,“who does nothing for Michigan!”,https://twitter.com/realDonaldTrump/status/1059310562771984390
Debbie Stabenow,U.S. senator ,“an automatic far left vote”,https://twitter.com/realDonaldTrump/status/1059433483423178752
Debbie Stabenow,U.S. senator ,“controlled by her bosses”,https://twitter.com/realDonaldTrump/status/1059433483423178752
CNN,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057059603605831680
CNN,,“keep purposely and inaccurately reporting that I said the “Media is the Enemy of the People.””,https://twitter.com/realDonaldTrump/status/1057059603605831680
CNN,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057059603605831680
CNN,,“Enemy of the People”,https://twitter.com/realDonaldTrump/status/1057059603605831680
CNN,,“false information not good!”,https://twitter.com/realDonaldTrump/status/1057059603605831680
Richard Cordray,"Former director, U.S. Consumer Financial Protection Bureau",“will let you down”,https://twitter.com/realDonaldTrump/status/1057325717162213378
Richard Cordray,"Former director, U.S. Consumer Financial Protection Bureau",“destroyed the government agency that he ran”,https://twitter.com/realDonaldTrump/status/1057325717162213378
Richard Cordray,"Former director, U.S. Consumer Financial Protection Bureau",“Clone of Pocahontas”,https://twitter.com/realDonaldTrump/status/1057325717162213378
Richard Cordray,"Former director, U.S. Consumer Financial Protection Bureau",“not for Ohio”,https://twitter.com/realDonaldTrump/status/1057325717162213378
Democrats,,“went insane”,https://twitter.com/realDonaldTrump/status/1057637708296794114
Democrats,,"“they will try to raise your taxes, restore job-killing regulations, shut down your coal mines and timber mills, take away your healthcare, impose socialism, and ERASE your borders”",https://twitter.com/realDonaldTrump/status/1058820790546821120
Dodgers Bullpen ,,“nervous reliever(s) who get shellacked”,https://twitter.com/realDonaldTrump/status/1056391795523895296
Joe Donnelly,U.S. senator,“trying to steal the election?”,https://twitter.com/realDonaldTrump/status/1058827516427808768
Andrew Gillum,Candidate for Florida governor,“a thief”,https://twitter.com/realDonaldTrump/status/1056922209111994373
