"in_yougov_data","log_smoothed_perc_dem_rt","log_smoothed_perc_rep_rt","log_smoothed_perc_dem_reply","log_smoothed_perc_rep_reply"
TRUE,-9.20769938764509,-6.89770088648984,-8.02904439130345,-8.32080922073245
TRUE,-9.90084656820504,-7.84044280445117,-9.02537783085114,-9.47071480378811
TRUE,-9.90084656820504,-7.85080559148672,-9.25899268203264,-9.58194043889834
TRUE,-10.0633654977028,-8.1384876639385,-9.56437433158383,-10.0172585101562
TRUE,-10.1239901195192,-8.09766566941824,-9.80553638840071,-10.0172585101562
TRUE,-9.95213986259259,-7.96080648670104,-9.52928301177256,-9.85020442549302
TRUE,-10.0633654977028,-8.02070462828211,-9.52928301177256,-9.77609645333929
TRUE,-9.49538146009687,-7.27349022645189,-7.54472070828296,-8.77756762322817
TRUE,-9.28566092911481,-6.96841641128824,-7.46723321280459,-8.28801939790946
TRUE,-9.49538146009687,-7.05386161724513,-8.12589421729336,-8.91864622148807
TRUE,-9.52928301177256,-6.86219419803294,-8.17807997046394,-8.67748416467118
TRUE,-9.34123078026962,-7.0169910814368,-8.53987001506944,-8.83163484449844
TRUE,-9.76108462582988,-7.5024988972185,-8.31161136308846,-8.91864622148807
TRUE,-9.34123078026962,-7.27349022645189,-8.45392758526871,-9.15705724493307
TRUE,-9.71852501141109,-7.5024988972185,-7.46285683820479,-8.56500618124449
FALSE,-10.593993748765,-10.1125686899605,-9.06793744526994,-9.37063134523113
TRUE,-9.76108462582988,-7.37820118054092,-9.13537872606547,-9.52478202505839
TRUE,-10.0062070838629,-7.99631317515795,-8.87122715102388,-9.32411132959624
TRUE,-9.90084656820504,-7.30920830905397,-9.15890922347566,-9.70710358185234
TRUE,-9.63848230373755,-7.53235186036818,-9.18300677505472,-9.41942150940056
TRUE,-9.95213986259259,-7.77076288381318,-9.06793744526994,-9.77609645333929
TRUE,-9.90084656820504,-7.82003393281996,-9.37021831714287,-9.77609645333929
TRUE,-9.63848230373755,-6.80935171665856,-8.40794247202689,-8.75159213682491
TRUE,-9.67770301689083,-7.13703912372404,-8.60611940061064,-8.88879325833839
TRUE,-9.80553638840071,-7.54761933249897,-8.90759479519476,-9.2796595670254
FALSE,-9.18300677505472,-6.85832572125501,-7.20621938743497,-8.27201905656302
FALSE,-9.34123078026962,-6.88572469544313,-6.68197074333684,-7.9042942764377
FALSE,-10.4986835689607,-9.77609645333929,-10.411672191971,-9.93024713316655
TRUE,-9.63848230373755,-7.0491777679327,-7.86614092036659,-8.50313077752641
TRUE,-9.31305990330292,-6.75219330281861,-7.98392395602298,-8.35471077240813
TRUE,-9.52928301177256,-7.09703378911034,-8.31161136308846,-9.0139564012924
TRUE,-9.34123078026962,-6.9303568494639,-8.26184985352939,-8.70158171625024
TRUE,-9.67770301689083,-7.42472119617582,-8.19609847596661,-8.44486186940243
TRUE,-9.37021831714287,-6.81303496207485,-7.58337286271724,-8.50313077752641
TRUE,-9.85205640403561,-7.53235186036818,-9.13537872606547,-9.70710358185234
TRUE,-9.63848230373755,-7.20021802534557,-8.73769575839936,-8.91864622148807
TRUE,-9.37021831714287,-6.78753266926392,-8.1174553486475,-8.70158171625024
TRUE,-9.25899268203264,-6.83542395696833,-7.10661867086178,-8.18104727835729
TRUE,-9.40007128029255,-7.1787118201246,-7.8596262393454,-9.15705724493307
TRUE,-8.92628692820691,-7.06329564947849,-8.04454857783941,-7.80998359696646
TRUE,-9.15890922347566,-6.8241668024437,-8.06029693480755,-8.46391006437313
TRUE,-9.85205640403561,-7.54761933249897,-8.88924565652656,-9.64256506071477
TRUE,-9.71852501141109,-7.39127326210828,-8.70692409973261,-9.37063134523113
TRUE,-9.85205640403561,-7.38471586156212,-8.78570497758572,-8.91864622148807
TRUE,-9.63848230373755,-7.5399564597534,-8.57909072822272,-9.15705724493307
TRUE,-10.593993748765,-10.1125686899605,-6.96168464613944,-7.9042942764377
TRUE,-10.593993748765,-10.1125686899605,-7.99873904180812,-8.70158171625024
TRUE,-9.56437433158383,-7.53235186036818,-8.72219157186339,-9.23709995260661
TRUE,-10.0062070838629,-7.67895533456006,-8.87122715102388,-9.37063134523113
TRUE,-9.56437433158383,-7.47351136034525,-9.04643124004897,-9.19627795808635
TRUE,-9.71852501141109,-7.42472119617582,-8.88924565652656,-9.19627795808635
TRUE,-9.23301719562938,-6.96841641128824,-8.07629727615399,-9.0139564012924
TRUE,-9.25899268203264,-6.92621605679787,-7.91297222005069,-8.30427991878124
TRUE,-9.85205640403561,-7.75171468884249,-9.52928301177256,-9.77609645333929
TRUE,-9.80553638840071,-7.57096669649596,-8.50212968708659,-8.94941788015483
