"name","my_party","gender.x","my_race","my_type","occupation","office2","gender.y","type","state.x","district","party.y","senate_class","party.x","branch","nationality","office","office3","rank","state.y","state_house","img1","img2","img3","img4"
"marty walsh","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"54th [[Mayor of Boston]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/b6/Marty_Walsh.jpg",NA,NA,NA
"maxine waters","d","female","b","rep",NA,NA,"F","rep","CA",43,"[[Democratic Party (United States)|Democratic]]",NA,"Democrat",NA,NA,"Member of the<br>[[United States House of Representatives|U.S. House of Representatives]]<br> from [[California]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/cd/Congresswoman_Waters_official_photo.jpg",NA,NA,NA
"michael nutter","d","male","b","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/36/Michael_Nutter.jpg","https://upload.wikimedia.org/wikipedia/commons/0/04/Mayor_Michael_A._Nutter_-_Flickr_-_Knight_Foundation.jpg","https://upload.wikimedia.org/wikipedia/commons/6/61/Secretary_Kerry_Speaks_With_Philadelphia_Mayor_Nutter_After_Speaking_About_Iranian_Nuclear_Deal_at_National_Constitution_Center_%2820475271303%29.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/NutterPA.JPG"
"nancy pelosi","d","female","w","rep",NA,"52nd [[Speaker of the United States House of Representatives]]","F","rep","CA",12,"[[Democratic Party (United States)|Democratic]]",NA,"Democrat",NA,NA,NA,"52nd [[Speaker of the United States House of Representatives]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/c0/Speaker_Nancy_Pelosi.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Secretary_Kerry%2C_Senators_McCain_and_Warner%2C_House_Minority_Leader_Pelosi%2C_and_Representative_Engel_Chat_Before_Greeting_King_Salman_of_Saudi_Arabia.jpg","https://upload.wikimedia.org/wikipedia/commons/8/86/Secretary_Kerry_Speaks_With_U.S._House_Minority_Leader_Pelosi_at_Estadio_Latinoamericano_in_Havana%2C_Cuba_%2825999385805%29.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e2/Rep._Nancy_Pelosi%2C_Supreme_Court_news_conference_to_call_for_the_reversal_of_President_Trump%E2%80%99s_travel_ban_on_refugees_and_immigrants_from_several_Middle_East_countries_%2832497355571%29.jpg"
"oprah winfrey","d","female","b","celeb","* Host of ''[[The Oprah Winfrey Show]]'' (1986–2011)
* Chairwoman and CEO of [[Harpo Productions]] (1986–present)
* Chairwoman, CEO, and CCO of the [[Oprah Winfrey Network]] (2011–present)
* Actress * Author",NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/bf/Oprah_in_2014.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c8/Oprah_Winfrey_with_Barack_and_Michelle_Obama.jpg","https://upload.wikimedia.org/wikipedia/commons/5/55/OprahEstate.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c1/Oprah_Winfrey_2010.jpg"
"paul begala","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"[[Counselor to the President]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/1f/Paul_Begala_by_Gage_Skidmore.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3e/PaulBegala.JPG",NA,NA
"ralph northam","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,"{{army|United States}}",NA,NA,NA,"{{Dodseal|USAO4-2015|25}} [[Major (United States)|Major]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/db/Terry_McAuliffe_and_Ralph_Northam.jpg","https://upload.wikimedia.org/wikipedia/commons/7/72/Governor_Ralph_Northam_Gives_Inaugural_Address_%2839348612584%29_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/d/db/Governor_Ralph_Northam_Gives_Inaugural_Address_%2839348612584%29.jpg","https://upload.wikimedia.org/wikipedia/commons/5/58/Ralph_Northam_meeting_with_volunteers_in_Blacksburg%2C_VA_%282017%29.jpg"
"richard blumenthal","d","male","w","sen",NA,NA,"M","sen","CT",NA,"[[Democratic Party (United States)|Democrat]]",3,"Democrat","{{flag|United States Marine Corps}}",NA,NA,NA,"[[File:USMC-E5.svg|18px]] [[Sergeant]]","[[Connecticut]]",NA,"https://upload.wikimedia.org/wikipedia/commons/3/35/Richard_Blumenthal_Official_Portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7a/Navy_Distinguished_Public_Service_Medal_Awardee_Richard_Blumenthal.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f5/Blumenthal_Guns_%2834368837663%29_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3b/Richard_Blumenthal_portrait.jpg"
"richard cordray","d","male","w","govt",NA,"46th [[Ohio State Treasurer|Treasurer of Ohio]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"1st Director of the [[Consumer Financial Protection Bureau]]","46th [[Ohio State Treasurer|Treasurer of Ohio]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/8/84/Nomination_of_Richard_Cordray.jpg","https://upload.wikimedia.org/wikipedia/commons/d/da/Richard_Cordray_official_photo.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Richard_Cordray.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2b/20081013_Richard_Cordray.jpg"
"sam liccardo","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"65th [[Mayor of San Jose]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/4/48/Facebook_F8_2017_San_Jose_Mayor_Sam_Liccardo_%28cropped%29.jpg",NA,NA,NA
"stephanie rawlings-blake","d","female","b","politician",NA,"49th [[List of mayors of Baltimore|Mayor of Baltimore]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"Secretary of the [[Democratic National Committee]]","49th [[List of mayors of Baltimore|Mayor of Baltimore]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/8/8a/Stephanie_Rawlings-Blake_2016_DNC.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e1/Stephanie-rawlings-blake.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e4/Adam_Jones%2C_Baltimore_Mayor_Stephanie_Rawlings-Blake_%288034468595%29.jpg",NA
"steve rattner","d","male","w","govt",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/7f/Steven_Rattner.jpg",NA,NA,NA
"thomas perez","d","male","w","politician",NA,"[[United States Department of Justice Civil Rights Division|United States Assistant Attorney General for Civil Rights]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"Chair of the [[Democratic National Committee]]","[[United States Department of Justice Civil Rights Division|United States Assistant Attorney General for Civil Rights]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/f9/Thomasperez-sig-.png","https://upload.wikimedia.org/wikipedia/commons/d/d8/Thomas_Perez-sec_labor_hearing.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b2/Thomas_Perez--ADA_Department_of_Justice.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6b/Thomas_Perez%2C_Assistant_Attorney_General_for_Civil_Rights%2C_official_portrait.jpg"
"tim kaine","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,"[[Virginia]]",NA,"https://upload.wikimedia.org/wikipedia/commons/3/35/Tim_Kaine_2016.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1d/Tim_Kaine%2C_official_113th_Congress_photo_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/5/56/Tim_Kaine_and_Anne_Holton_2012dncconvention-190_%288049827332%29_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e7/Tim_Kaine_Signature.svg"
"tom steyer","d","male","w","business",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/06/Tom_Steyer_%28cropped%29.jpg",NA,NA,NA
